127.0.0.1 - - [30/Oct/2022:11:44:05 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:44:06 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:44:06 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:50:57 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:52:35 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:52:36 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:53:02 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:53:15 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:53:23 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:53:24 -0300] "GET /ProjetoLivraria/index.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:53:26 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:54:35 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:54:36 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:03 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:04 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:36 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:39 -0300] "GET /ProjetoLivraria/adicionar.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:39 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:42 -0300] "GET /ProjetoLivraria/index.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:43 -0300] "GET /ProjetoLivraria/listaLivroPorCategoria.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:45 -0300] "POST /ProjetoLivraria/consultaLivroPorCategoria.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:49 -0300] "GET /ProjetoLivraria/editar.jsp?codlivro=12 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:51 -0300] "GET /ProjetoLivraria/index.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:55:53 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:57:57 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:58:34 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [30/Oct/2022:11:58:38 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:01:36 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:01:41 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:01:48 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:02:25 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:02:39 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:02:46 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:03:18 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:04:02 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:04:03 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:06:31 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:06:32 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:07:43 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:07:51 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:08:30 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:08:43 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:34 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2826
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:41 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:43 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2160
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:10:45 -0300] "GET /ProjetoLivraria/livroPorId.jsp HTTP/1.1" 500 2826
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:20 -0300] "GET /ProjetoLivraria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:20 -0300] "GET /ProjetoLivraria/ HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [30/Oct/2022:12:11:22 -0300] "GET /ProjetoLivraria/pesquisaLivroPorId.jsp HTTP/1.1" 200 2160
